original,renamed
TRINITY_DN108_c0_g1_i2 len=536 path=[0:0-452 2:453-535],Transcript_82
TRINITY_DN156_c0_g1_i1 len=2578 path=[0:0-2577],Transcript_83
TRINITY_DN118_c0_g1_i1 len=905 path=[0:0-904],Transcript_84
TRINITY_DN197_c0_g1_i1 len=2006 path=[0:0-2005],Transcript_85
TRINITY_DN148_c1_g1_i1 len=1319 path=[0:0-1318],Transcript_86
TRINITY_DN148_c0_g1_i1 len=2199 path=[0:0-701 2:702-2198],Transcript_87
TRINITY_DN148_c0_g1_i2 len=2296 path=[1:0-798 2:799-2295],Transcript_88
TRINITY_DN128_c1_g1_i1 len=628 path=[0:0-627],Transcript_89
TRINITY_DN128_c0_g1_i1 len=3143 path=[0:0-3142],Transcript_90
TRINITY_DN191_c0_g1_i1 len=1104 path=[0:0-1103],Transcript_91
TRINITY_DN136_c0_g1_i1 len=337 path=[0:0-336],Transcript_92
TRINITY_DN162_c0_g1_i1 len=696 path=[0:0-695],Transcript_93
TRINITY_DN127_c0_g1_i1 len=1779 path=[0:0-1778],Transcript_94
TRINITY_DN155_c0_g1_i1 len=2001 path=[0:0-2000],Transcript_95
TRINITY_DN109_c0_g1_i1 len=772 path=[0:0-525 2:526-771],Transcript_96
TRINITY_DN109_c0_g1_i2 len=883 path=[0:0-525 1:526-636 2:637-882],Transcript_97
TRINITY_DN142_c0_g1_i1 len=322 path=[0:0-321],Transcript_98
TRINITY_DN158_c1_g1_i1 len=308 path=[0:0-307],Transcript_99
TRINITY_DN158_c0_g1_i1 len=1706 path=[0:0-1705],Transcript_100
TRINITY_DN171_c0_g1_i1 len=386 path=[0:0-52 2:53-385],Transcript_101
TRINITY_DN171_c0_g1_i2 len=448 path=[0:0-52 1:53-114 2:115-447],Transcript_102
TRINITY_DN161_c0_g1_i1 len=2510 path=[0:0-2509],Transcript_103
TRINITY_DN101_c0_g1_i1 len=1664 path=[0:0-1663],Transcript_104
TRINITY_DN123_c1_g1_i1 len=807 path=[0:0-806],Transcript_105
TRINITY_DN123_c0_g1_i1 len=2188 path=[0:0-836 1:837-2187],Transcript_106
TRINITY_DN123_c0_g1_i2 len=2014 path=[0:0-836 2:837-2013],Transcript_107
TRINITY_DN146_c0_g1_i1 len=3109 path=[0:0-3108],Transcript_108
TRINITY_DN124_c0_g1_i1 len=3518 path=[0:0-3517],Transcript_109
TRINITY_DN110_c0_g1_i1 len=1707 path=[0:0-1706],Transcript_110
TRINITY_DN117_c0_g1_i1 len=562 path=[0:0-189 2:190-561],Transcript_111
TRINITY_DN117_c0_g1_i2 len=465 path=[1:0-92 2:93-464],Transcript_112
TRINITY_DN113_c0_g1_i1 len=1576 path=[0:0-1575],Transcript_113
TRINITY_DN199_c0_g1_i1 len=797 path=[0:0-796],Transcript_114
TRINITY_DN111_c0_g1_i1 len=1511 path=[0:0-1510],Transcript_115
TRINITY_DN134_c0_g1_i1 len=1152 path=[0:0-1151],Transcript_116
TRINITY_DN103_c0_g1_i1 len=1433 path=[0:0-1432],Transcript_117
TRINITY_DN157_c0_g1_i1 len=2002 path=[0:0-2001],Transcript_118
TRINITY_DN3070_c0_g1_i1 len=433 path=[0:0-432],Transcript_119
TRINITY_DN3008_c0_g1_i1 len=3468 path=[0:0-3467],Transcript_120
TRINITY_DN3036_c0_g1_i1 len=1105 path=[0:0-1104],Transcript_121
TRINITY_DN3063_c0_g1_i1 len=634 path=[0:0-633],Transcript_122
TRINITY_DN3023_c0_g1_i1 len=332 path=[0:0-331],Transcript_123
TRINITY_DN3051_c0_g1_i1 len=1556 path=[0:0-1555],Transcript_124
TRINITY_DN3059_c0_g1_i1 len=324 path=[0:0-323],Transcript_125
TRINITY_DN3030_c0_g1_i1 len=1186 path=[0:0-1185],Transcript_126
TRINITY_DN3089_c0_g1_i1 len=1436 path=[0:0-1435],Transcript_127
TRINITY_DN3038_c0_g1_i1 len=1026 path=[0:0-1025],Transcript_128
TRINITY_DN3010_c0_g1_i1 len=1774 path=[0:0-1773],Transcript_129
TRINITY_DN3054_c0_g1_i1 len=485 path=[0:0-484],Transcript_130
TRINITY_DN3072_c0_g1_i1 len=1419 path=[0:0-1418],Transcript_131
TRINITY_DN3085_c0_g1_i1 len=271 path=[0:0-270],Transcript_132
TRINITY_DN3092_c0_g1_i1 len=1998 path=[0:0-1997],Transcript_133
TRINITY_DN3071_c0_g1_i1 len=1038 path=[0:0-1037],Transcript_134
TRINITY_DN3025_c0_g1_i1 len=227 path=[0:0-226],Transcript_135
TRINITY_DN3041_c0_g1_i1 len=652 path=[0:0-651],Transcript_136
TRINITY_DN3079_c0_g1_i1 len=1227 path=[0:0-1226],Transcript_137
TRINITY_DN3099_c0_g1_i1 len=1333 path=[0:0-1332],Transcript_138
TRINITY_DN3062_c0_g1_i1 len=1642 path=[0:0-1641],Transcript_139
TRINITY_DN3016_c0_g1_i1 len=312 path=[0:0-311],Transcript_140
TRINITY_DN3017_c0_g1_i1 len=393 path=[0:0-392],Transcript_141
TRINITY_DN3077_c0_g1_i1 len=683 path=[0:0-682],Transcript_142
TRINITY_DN3001_c0_g1_i1 len=1131 path=[0:0-1130],Transcript_143
TRINITY_DN3046_c0_g1_i1 len=360 path=[0:0-359],Transcript_144
TRINITY_DN3009_c0_g1_i1 len=1676 path=[0:0-1675],Transcript_145
TRINITY_DN3057_c0_g1_i1 len=2203 path=[0:0-2202],Transcript_146
TRINITY_DN3069_c0_g1_i1 len=263 path=[0:0-262],Transcript_147
TRINITY_DN3005_c0_g1_i1 len=1229 path=[0:0-1228],Transcript_148
TRINITY_DN3047_c0_g1_i1 len=1671 path=[0:0-1670],Transcript_149
TRINITY_DN3031_c0_g1_i1 len=1099 path=[0:0-1098],Transcript_150
TRINITY_DN3019_c0_g1_i1 len=271 path=[0:0-270],Transcript_151
TRINITY_DN3052_c0_g1_i1 len=1237 path=[0:0-1236],Transcript_152
TRINITY_DN3087_c0_g1_i1 len=588 path=[0:0-587],Transcript_153
TRINITY_DN3049_c0_g1_i1 len=631 path=[0:0-630],Transcript_154
TRINITY_DN3058_c0_g1_i1 len=412 path=[0:0-411],Transcript_155
TRINITY_DN3043_c0_g1_i1 len=2466 path=[0:0-2465],Transcript_156
TRINITY_DN3097_c0_g1_i1 len=549 path=[0:0-548],Transcript_157
TRINITY_DN3045_c0_g1_i1 len=1946 path=[0:0-1945],Transcript_158
TRINITY_DN3013_c0_g1_i1 len=248 path=[0:0-247],Transcript_159
TRINITY_DN3022_c0_g1_i1 len=1559 path=[0:0-1558],Transcript_160
TRINITY_DN3007_c0_g1_i1 len=829 path=[0:0-828],Transcript_161
TRINITY_DN3076_c0_g1_i1 len=644 path=[0:0-643],Transcript_162
TRINITY_DN3056_c0_g1_i1 len=483 path=[0:0-482],Transcript_163
TRINITY_DN3014_c0_g1_i1 len=2168 path=[0:0-2167],Transcript_164
TRINITY_DN3015_c0_g1_i1 len=2822 path=[0:0-2821],Transcript_165
TRINITY_DN3086_c0_g1_i1 len=623 path=[0:0-622],Transcript_166
TRINITY_DN3073_c0_g1_i1 len=570 path=[0:0-569],Transcript_167
TRINITY_DN3042_c0_g1_i1 len=407 path=[0:0-406],Transcript_168
TRINITY_DN3032_c0_g1_i1 len=2396 path=[0:0-2395],Transcript_169
TRINITY_DN3027_c0_g1_i1 len=1179 path=[0:0-1178],Transcript_170
TRINITY_DN3053_c0_g1_i1 len=739 path=[0:0-738],Transcript_171
TRINITY_DN3091_c0_g1_i1 len=1351 path=[0:0-1350],Transcript_172
TRINITY_DN3068_c0_g1_i1 len=1322 path=[0:0-1321],Transcript_173
TRINITY_DN3012_c0_g1_i1 len=1375 path=[0:0-1374],Transcript_174
TRINITY_DN3084_c0_g1_i1 len=295 path=[0:0-294],Transcript_175
TRINITY_DN3037_c0_g1_i1 len=626 path=[0:0-625],Transcript_176
TRINITY_DN3090_c0_g1_i1 len=2263 path=[0:0-2262],Transcript_177
TRINITY_DN3048_c0_g1_i1 len=1487 path=[0:0-1486],Transcript_178
TRINITY_DN3082_c0_g1_i1 len=1537 path=[0:0-1536],Transcript_179
TRINITY_DN3003_c0_g1_i1 len=1022 path=[0:0-1021],Transcript_180
TRINITY_DN3033_c0_g1_i1 len=2524 path=[0:0-2523],Transcript_181
TRINITY_DN3029_c0_g1_i1 len=375 path=[0:0-374],Transcript_182
TRINITY_DN3061_c0_g1_i1 len=2231 path=[0:0-2230],Transcript_183
TRINITY_DN3060_c0_g1_i1 len=689 path=[0:0-688],Transcript_184
TRINITY_DN3020_c0_g1_i1 len=1939 path=[0:0-1938],Transcript_185
TRINITY_DN3078_c0_g1_i1 len=545 path=[0:0-544],Transcript_186
TRINITY_DN3006_c0_g1_i1 len=576 path=[0:0-575],Transcript_187
TRINITY_DN3080_c0_g1_i1 len=1204 path=[0:0-1203],Transcript_188
TRINITY_DN3044_c0_g1_i1 len=786 path=[0:0-785],Transcript_189
TRINITY_DN3021_c0_g1_i1 len=969 path=[0:0-968],Transcript_190
TRINITY_DN3034_c0_g1_i1 len=384 path=[0:0-383],Transcript_191
TRINITY_DN3065_c0_g1_i1 len=574 path=[0:0-573],Transcript_192
TRINITY_DN3088_c0_g1_i1 len=2476 path=[0:0-2475],Transcript_193
TRINITY_DN3074_c0_g1_i1 len=464 path=[0:0-463],Transcript_194
TRINITY_DN3067_c0_g1_i1 len=1279 path=[0:0-1278],Transcript_195
TRINITY_DN3075_c0_g1_i1 len=2423 path=[0:0-2422],Transcript_196
TRINITY_DN3095_c0_g1_i1 len=3020 path=[0:0-3019],Transcript_197
TRINITY_DN3028_c0_g1_i1 len=1691 path=[0:0-1690],Transcript_198
TRINITY_DN3018_c0_g1_i1 len=1531 path=[0:0-1530],Transcript_199
TRINITY_DN3094_c0_g1_i1 len=1947 path=[0:0-1946],Transcript_200
TRINITY_DN3098_c0_g1_i1 len=853 path=[0:0-852],Transcript_201
TRINITY_DN3083_c0_g1_i1 len=305 path=[0:0-304],Transcript_202
TRINITY_DN3064_c0_g1_i1 len=509 path=[0:0-508],Transcript_203
TRINITY_DN3000_c0_g1_i1 len=1681 path=[0:0-1680],Transcript_204
TRINITY_DN3066_c0_g1_i1 len=644 path=[0:0-643],Transcript_205
TRINITY_DN3055_c0_g1_i1 len=230 path=[0:0-229],Transcript_206
TRINITY_DN3024_c0_g1_i1 len=1974 path=[0:0-1973],Transcript_207
TRINITY_DN3004_c0_g1_i1 len=662 path=[0:0-661],Transcript_208
TRINITY_DN3011_c0_g1_i1 len=206 path=[0:0-205],Transcript_209
TRINITY_DN3026_c0_g1_i1 len=1320 path=[0:0-1319],Transcript_210
TRINITY_DN3035_c0_g1_i1 len=744 path=[0:0-743],Transcript_211
TRINITY_DN3040_c0_g1_i1 len=2022 path=[0:0-2021],Transcript_212
TRINITY_DN3093_c0_g1_i1 len=1266 path=[0:0-1265],Transcript_213
TRINITY_DN3039_c0_g1_i1 len=1789 path=[0:0-1788],Transcript_214
TRINITY_DN3002_c0_g1_i1 len=906 path=[0:0-905],Transcript_215
TRINITY_DN3096_c0_g1_i1 len=856 path=[0:0-855],Transcript_216
TRINITY_DN3081_c0_g1_i1 len=790 path=[0:0-789],Transcript_217
TRINITY_DN3050_c0_g1_i1 len=520 path=[0:0-519],Transcript_218
TRINITY_DN2441_c0_g1_i1 len=584 path=[0:0-583],Transcript_219
TRINITY_DN2451_c0_g1_i1 len=255 path=[0:0-254],Transcript_220
TRINITY_DN2426_c0_g1_i1 len=211 path=[0:0-210],Transcript_221
TRINITY_DN2404_c0_g1_i1 len=331 path=[0:0-330],Transcript_222
TRINITY_DN2468_c0_g1_i1 len=278 path=[0:0-277],Transcript_223
TRINITY_DN2481_c0_g1_i1 len=255 path=[0:0-254],Transcript_224
TRINITY_DN2470_c0_g1_i1 len=519 path=[0:0-518],Transcript_225
TRINITY_DN2418_c0_g1_i1 len=278 path=[0:0-277],Transcript_226
TRINITY_DN2466_c0_g1_i1 len=224 path=[0:0-223],Transcript_227
TRINITY_DN2437_c0_g1_i1 len=295 path=[0:0-294],Transcript_228
TRINITY_DN2490_c0_g1_i1 len=259 path=[0:0-258],Transcript_229
TRINITY_DN2494_c0_g1_i1 len=211 path=[0:0-210],Transcript_230
TRINITY_DN2447_c0_g1_i1 len=439 path=[0:0-438],Transcript_231
TRINITY_DN2419_c0_g1_i1 len=258 path=[0:0-257],Transcript_232
TRINITY_DN2401_c0_g1_i1 len=882 path=[0:0-881],Transcript_233
TRINITY_DN2487_c0_g1_i1 len=216 path=[0:0-215],Transcript_234
TRINITY_DN2406_c0_g1_i1 len=229 path=[0:0-228],Transcript_235
TRINITY_DN2402_c0_g1_i1 len=690 path=[0:0-689],Transcript_236
TRINITY_DN2434_c0_g1_i1 len=648 path=[0:0-647],Transcript_237
TRINITY_DN2455_c0_g1_i1 len=234 path=[0:0-233],Transcript_238
TRINITY_DN2403_c0_g1_i1 len=262 path=[0:0-261],Transcript_239
TRINITY_DN2410_c0_g1_i1 len=245 path=[0:0-244],Transcript_240
TRINITY_DN2422_c0_g1_i1 len=287 path=[0:0-286],Transcript_241
TRINITY_DN2463_c0_g1_i1 len=237 path=[0:0-236],Transcript_242
TRINITY_DN2439_c0_g1_i1 len=558 path=[0:0-557],Transcript_243
TRINITY_DN2469_c0_g1_i1 len=245 path=[0:0-244],Transcript_244
TRINITY_DN2458_c0_g1_i1 len=277 path=[0:0-276],Transcript_245
TRINITY_DN2498_c0_g1_i1 len=244 path=[0:0-243],Transcript_246
TRINITY_DN2465_c0_g1_i1 len=215 path=[0:0-214],Transcript_247
TRINITY_DN2433_c0_g1_i1 len=258 path=[0:0-257],Transcript_248
TRINITY_DN2430_c0_g1_i1 len=282 path=[0:0-281],Transcript_249
TRINITY_DN2436_c0_g1_i1 len=282 path=[0:0-281],Transcript_250
TRINITY_DN2429_c0_g1_i1 len=224 path=[0:0-223],Transcript_251
TRINITY_DN2440_c0_g1_i1 len=314 path=[0:0-313],Transcript_252
TRINITY_DN2489_c0_g1_i1 len=206 path=[0:0-205],Transcript_253
TRINITY_DN2488_c0_g1_i1 len=346 path=[0:0-345],Transcript_254
TRINITY_DN2486_c0_g1_i1 len=218 path=[0:0-217],Transcript_255
TRINITY_DN2415_c0_g1_i1 len=269 path=[0:0-268],Transcript_256
TRINITY_DN2471_c0_g1_i1 len=562 path=[0:0-561],Transcript_257
TRINITY_DN2421_c0_g1_i1 len=454 path=[0:0-453],Transcript_258
TRINITY_DN2457_c0_g1_i1 len=346 path=[0:0-345],Transcript_259
TRINITY_DN2438_c0_g1_i1 len=442 path=[0:0-441],Transcript_260
TRINITY_DN2428_c0_g1_i1 len=992 path=[0:0-991],Transcript_261
TRINITY_DN2407_c0_g1_i1 len=452 path=[0:0-451],Transcript_262
TRINITY_DN2459_c0_g1_i1 len=324 path=[0:0-323],Transcript_263
TRINITY_DN2496_c0_g1_i1 len=254 path=[0:0-253],Transcript_264
TRINITY_DN2449_c0_g1_i1 len=290 path=[0:0-289],Transcript_265
TRINITY_DN2472_c0_g1_i1 len=205 path=[0:0-204],Transcript_266
TRINITY_DN2431_c0_g1_i1 len=240 path=[0:0-239],Transcript_267
TRINITY_DN2456_c0_g1_i1 len=212 path=[0:0-211],Transcript_268
TRINITY_DN2413_c0_g1_i1 len=274 path=[0:0-273],Transcript_269
TRINITY_DN2405_c0_g1_i1 len=242 path=[0:0-241],Transcript_270
TRINITY_DN2453_c0_g1_i1 len=278 path=[0:0-277],Transcript_271
TRINITY_DN2423_c0_g1_i1 len=279 path=[0:0-278],Transcript_272
TRINITY_DN2400_c0_g1_i1 len=321 path=[0:0-320],Transcript_273
TRINITY_DN2497_c0_g1_i1 len=203 path=[0:0-202],Transcript_274
TRINITY_DN2420_c0_g1_i1 len=276 path=[0:0-275],Transcript_275
TRINITY_DN2493_c0_g1_i1 len=939 path=[0:0-938],Transcript_276
TRINITY_DN2444_c0_g1_i1 len=231 path=[0:0-230],Transcript_277
TRINITY_DN2475_c0_g1_i1 len=325 path=[0:0-324],Transcript_278
TRINITY_DN2445_c0_g1_i1 len=793 path=[0:0-792],Transcript_279
TRINITY_DN2432_c0_g1_i1 len=539 path=[0:0-538],Transcript_280
TRINITY_DN2454_c0_g1_i1 len=474 path=[0:0-473],Transcript_281
TRINITY_DN2495_c0_g1_i1 len=272 path=[0:0-271],Transcript_282
TRINITY_DN2425_c0_g1_i1 len=387 path=[0:0-386],Transcript_283
TRINITY_DN2448_c0_g1_i1 len=362 path=[0:0-361],Transcript_284
TRINITY_DN2482_c0_g1_i1 len=268 path=[0:0-267],Transcript_285
TRINITY_DN2476_c0_g1_i1 len=283 path=[0:0-282],Transcript_286
TRINITY_DN2452_c0_g1_i1 len=217 path=[0:0-216],Transcript_287
TRINITY_DN2483_c0_g1_i1 len=298 path=[0:0-297],Transcript_288
TRINITY_DN2460_c0_g1_i1 len=748 path=[0:0-747],Transcript_289
TRINITY_DN2408_c0_g1_i1 len=802 path=[0:0-801],Transcript_290
TRINITY_DN2478_c0_g1_i1 len=385 path=[0:0-384],Transcript_291
TRINITY_DN2480_c0_g1_i1 len=313 path=[0:0-312],Transcript_292
TRINITY_DN2450_c0_g1_i1 len=226 path=[0:0-225],Transcript_293
TRINITY_DN2477_c0_g1_i1 len=252 path=[0:0-251],Transcript_294
TRINITY_DN2414_c0_g1_i1 len=279 path=[0:0-278],Transcript_295
TRINITY_DN2442_c0_g1_i1 len=280 path=[0:0-279],Transcript_296
TRINITY_DN2411_c0_g1_i1 len=240 path=[0:0-239],Transcript_297
TRINITY_DN2409_c0_g1_i1 len=483 path=[0:0-482],Transcript_298
TRINITY_DN2467_c0_g1_i1 len=315 path=[0:0-314],Transcript_299
TRINITY_DN2499_c0_g1_i1 len=218 path=[0:0-217],Transcript_300
TRINITY_DN2491_c0_g1_i1 len=309 path=[0:0-308],Transcript_301
TRINITY_DN2446_c0_g1_i1 len=240 path=[0:0-239],Transcript_302
TRINITY_DN2412_c0_g1_i1 len=239 path=[0:0-238],Transcript_303
TRINITY_DN2424_c0_g1_i1 len=224 path=[0:0-223],Transcript_304
TRINITY_DN2417_c0_g1_i1 len=255 path=[0:0-254],Transcript_305
TRINITY_DN2427_c0_g1_i1 len=271 path=[0:0-270],Transcript_306
TRINITY_DN2443_c0_g1_i1 len=252 path=[0:0-251],Transcript_307
TRINITY_DN2473_c0_g1_i1 len=233 path=[0:0-232],Transcript_308
TRINITY_DN2484_c0_g1_i1 len=331 path=[0:0-330],Transcript_309
TRINITY_DN2485_c0_g1_i1 len=206 path=[0:0-205],Transcript_310
TRINITY_DN2462_c0_g1_i1 len=613 path=[0:0-612],Transcript_311
TRINITY_DN2474_c0_g1_i1 len=225 path=[0:0-224],Transcript_312
TRINITY_DN2416_c0_g1_i1 len=462 path=[0:0-461],Transcript_313
TRINITY_DN2461_c0_g1_i1 len=366 path=[0:0-365],Transcript_314
TRINITY_DN2492_c0_g1_i1 len=207 path=[0:0-206],Transcript_315
TRINITY_DN2464_c0_g1_i1 len=256 path=[0:0-255],Transcript_316
TRINITY_DN596_c0_g1_i1 len=816 path=[0:0-815],Transcript_317
TRINITY_DN549_c0_g1_i1 len=1204 path=[0:0-1203],Transcript_318
TRINITY_DN523_c0_g1_i1 len=859 path=[0:0-858],Transcript_319
TRINITY_DN594_c0_g1_i1 len=398 path=[0:0-397],Transcript_320
TRINITY_DN513_c0_g1_i1 len=717 path=[0:0-716],Transcript_321
TRINITY_DN591_c0_g1_i1 len=251 path=[0:0-250],Transcript_322
TRINITY_DN561_c0_g1_i1 len=1163 path=[0:0-1162],Transcript_323
TRINITY_DN538_c0_g1_i1 len=1444 path=[0:0-1443],Transcript_324
TRINITY_DN524_c0_g1_i1 len=1804 path=[0:0-1803],Transcript_325
TRINITY_DN580_c0_g1_i1 len=749 path=[0:0-748],Transcript_326
TRINITY_DN586_c0_g1_i1 len=671 path=[0:0-670],Transcript_327
TRINITY_DN558_c0_g1_i1 len=1569 path=[0:0-1568],Transcript_328
TRINITY_DN565_c0_g1_i1 len=1444 path=[0:0-1443],Transcript_329
TRINITY_DN511_c0_g1_i1 len=766 path=[0:0-765],Transcript_330
TRINITY_DN530_c0_g1_i1 len=1135 path=[0:0-1134],Transcript_331
TRINITY_DN583_c0_g1_i1 len=846 path=[0:0-845],Transcript_332
TRINITY_DN555_c0_g1_i1 len=508 path=[0:0-507],Transcript_333
TRINITY_DN526_c0_g1_i1 len=570 path=[0:0-569],Transcript_334
TRINITY_DN567_c0_g1_i1 len=243 path=[0:0-242],Transcript_335
TRINITY_DN569_c0_g1_i1 len=1201 path=[0:0-1200],Transcript_336
